query_id,disabled_rules,hash,min(walltime)
1,"CollapseProject,EliminateOuterJoin",1601567832,1449129
2,SimplifyConditionals,1953117903,2548041
3,None,1950917320,1714942
4,None,48024309,11651639
5,"CombineUnions,EliminateOuterJoin,PushProjectionThroughUnion",855673627,4297897
6,EliminateOuterJoin,771975632,2517203
7,None,848629882,2711866
8,ConstantFolding,1113069961,2091504
9,ConstantFolding,1462736544,4452835
10,RemoveNoopOperators,239643735,3079570
11,"CollapseProject,PruneFilters",2978511,5498590
12,ConstantFolding,1279358180,953723
13,None,1386773929,2297619
14,"PushDownLeftSemiAntiJoin,PushProjectionThroughUnion",922864569,12200845
15,"PushDownLeftSemiAntiJoin,RemoveRedundantAggregates",324052728,10643798
16,None,1000506079,1856074
17,"ConstantFolding,EliminateLimits,RemoveNoopOperators",584113883,3594349
18,None,2123614199,7627939
19,"RemoveNoopOperators,RemoveRedundantAliases",31131181,3831961
20,None,1029082197,2706929
21,ConstantFolding,1113717256,1369871
22,"ConstantFolding,PushFoldableIntoBranches,SimplifyCasts",512713084,3999718
23,RemoveRedundantAliases,1582538871,6069573
24,None,1292171670,9745666
25,ConstantFolding,1684180970,10458522
26,None,74699955,5148995
27,None,909618204,7198728
28,None,1433031883,6245593
29,None,964743842,2193916
30,"RemoveNoopOperators,RemoveRedundantAliases",1937901833,2798070
31,EliminateLimits,1485545890,5981811
32,None,1719489084,5465056
33,CollapseProject,1645360409,1325021
34,RemoveRedundantAliases,95937776,5715965
35,EliminateOuterJoin,849524983,1675989
36,ConstantFolding,1812595717,2971774
37,"ConstantFolding,OptimizeIn",1940386936,1429735
38,RemoveNoopOperators,1243878573,3393768
39,"OptimizeIn,RemoveNoopOperators",147194364,2407652
40,Broadcast catalog_sales,1663098594,665773
41,EliminateLimits,2082537389,3343388
42,"CollapseProject,RemoveRedundantAliases",2024788943,5694991
43,PushFoldableIntoBranches,1558031269,6144734
44,ConstantFolding,759898953,2698020
45,FoldablePropagation,979195735,440058
46,None,532732818,1878477
47,"ConstantFolding,SimplifyConditionals",1441689451,1417139
48,"CollapseProject,RemoveNoopOperators",747465526,2762575
49,None,1637174838,1801709
50,None,1345401470,2441038
51,"CollapseProject,ConstantFolding,PushFoldableIntoBranches",813095115,4805335
52,Broadcast customer_demographics,1181045255,2211131
53,CombineUnions,200805615,4833387
54,None,260347346,3523481
55,"CollapseProject,RemoveNoopOperators",860482056,4496375
56,None,760443029,2093674
57,"ConstantFolding,ReplaceNullWithFalseInPredicate",663228326,1963572
58,"CollapseProject,ConstantFolding",2066705170,3877238
59,None,1763113040,1741010
60,"CombineUnions,ConstantFolding",1255392743,2805842
61,PushFoldableIntoBranches,2067742225,2741574
62,None,1837259317,5476728
63,SimplifyConditionals,1688900001,3084658
64,"ConstantFolding,OptimizeIn,RemoveNoopOperators",865403566,2894564
65,EliminateLimits,116889833,338203
66,None,1978600657,1074383
67,ReplaceNullWithFalseInPredicate,1586314886,1633556
68,ConstantFolding,198507764,14428873
69,None,122434074,35158409
70,None,1558042740,18958481
71,"ConstantFolding,RemoveRedundantAliases",392487199,50145896
72,None,125315212,22824121
73,None,79591336,26120294
74,UnwrapCastInBinaryComparison,2094827084,31139523
75,CombineUnions,1143328392,30422001
76,None,1705353008,120000000
77,PushFoldableIntoBranches,953194355,13024691
78,"PruneFilters,SimplifyConditionals",1810742995,34323860
79,RemoveRedundantAliases,773441365,6925063
81,CombineUnions,1986374653,2583830
82,"CombineUnions,PushProjectionThroughUnion,RemoveNoopOperators",2035407779,3717664
83,ConstantFolding,1062585914,9857336
84,Broadcast customer,1683452434,2799393
85,PushProjectionThroughUnion,1986051167,8048888
86,CollapseProject,205065263,1505974
87,ConstantFolding,1816213724,4196048
88,ConstantFolding,23061182,1359765
89,None,505381429,1844911
90,Broadcast web_sales,2008937580,1935083
91,RemoveNoopOperators,1247575922,1425936
92,RemoveRedundantAggregates,1339391841,4322292
93,RemoveNoopOperators,1077125063,6301452
94,"ConstantFolding,OptimizeIn,PushFoldableIntoBranches",1266313731,1927598
95,EliminateLimits,758943151,976910
96,ConstantFolding,22387856,1231386
97,"EliminateLimits,EliminateOuterJoin",1491822946,1653664
98,None,1769856440,1266097
99,"ConstantFolding,EliminateLimits",75040890,2376288
100,"ConstantFolding,EliminateLimits,RemoveNoopOperators",383130543,3400834
101,EliminateLimits,630036102,1117122
102,EliminateLimits,1522409033,2829377
103,ConstantFolding,1336862874,2151752
104,None,1848017888,1392589
