query_id,disabled_rules,hash,min(walltime)
1,EliminateLimits,737140609,436857
2,None,81697035,2347734
3,"CombineUnions,ConstantFolding,RemoveRedundantAliases",2078368242,8080568
4,"CollapseProject,ColumnPruning",616357830,198672
5,"CollapseProject,RemoveRedundantAliases",240785952,5211555
6,None,1319899148,5062988
7,"CollapseProject,CombineUnions",591458039,6870626
8,"EliminateLimits,EliminateOuterJoin",501842368,657604
9,None,916442835,4349349
10,None,918149558,4517783
11,ConstantFolding,1614591385,16661169
12,RemoveRedundantAliases,311532443,899388
13,EliminateOuterJoin,1407316456,2030702
14,ConstantFolding,1374206118,896898
15,RemoveNoopOperators,2134302492,1252460
16,ConstantFolding,141776324,947799
17,RemoveRedundantAliases,1301644633,1411968
18,"EliminateLimits,RemoveNoopOperators",1529525379,2492087
19,None,1778231956,3737946
20,ConstantFolding,1399942443,1898811
21,ConstantFolding,154153440,20265902
22,"CollapseProject,RemoveNoopOperators,UnwrapCastInBinaryComparison",946361366,1202110
23,RemoveNoopOperators,1042655686,1824834
24,None,324527548,3637954
25,None,2123757778,1946960
26,"EliminateLimits,RemoveNoopOperators",1556856444,4916639
27,RemoveNoopOperators,94412334,3263149
28,"CollapseProject,ConstantFolding",650365319,831949
29,None,831324694,3313877
30,"ConstantFolding,OptimizeIn,RemoveNoopOperators",1446622546,1496017
31,None,1439402168,6951428
32,UnwrapCastInBinaryComparison,667123177,1644432
33,ConstantFolding,2130095462,2964680
34,BooleanSimplification,298672755,2801225
35,"RemoveRedundantAliases,UnwrapCastInBinaryComparison",2039801124,1171737
36,None,271782654,81147012
37,"ConstantFolding,RemoveNoopOperators",1629578673,2708846
38,"CollapseProject,EliminateOuterJoin",180229400,2449852
39,EliminateLimits,1363293294,5626306
40,None,875480050,3195549
41,EliminateLimits,1502098712,509546
42,None,355291016,4860330
43,"ConstantFolding,RemoveRedundantAliases",1604047730,2795933
44,"ConstantFolding,EliminateLimits,RemoveNoopOperators",528932055,6752290
45,EliminateLimits,226756898,718355
46,None,1966962399,3285930
47,RemoveNoopOperators,1058632675,5746336
48,RemoveNoopOperators,1083190150,3608259
49,"CombineUnions,ConstantFolding",1664451892,3285551
50,ConstantFolding,1199401081,1267887
51,"ConstantFolding,RemoveNoopOperators,RemoveRedundantAliases",1250666778,2945489
52,"CollapseProject,PruneFilters,RemoveRedundantAliases",1961724004,4361646
53,None,1310701854,7692821
54,None,464761287,3769763
55,RemoveRedundantAggregates,2049632581,3546405
56,"RemoveNoopOperators,RemoveRedundantAliases",2050220196,11267276
57,"ConstantFolding,OptimizeIn",71676851,1076432
58,ConstantFolding,1854448171,4274032
59,EliminateOuterJoin,1991439441,1871332
60,None,705523678,1959407
61,None,88024184,5870739
62,None,895175148,1435623
63,EliminateOuterJoin,176961844,366048
64,ConstantFolding,711932744,1744319
65,ConstantFolding,2004726911,893037
66,ConstantFolding,1331962223,966447
67,RemoveNoopOperators,1019593669,1690527
68,UnwrapCastInBinaryComparison,2043807456,2126428
69,"ConstantFolding,EliminateLimits",87834215,11900729
70,RemoveNoopOperators,352865721,14127263
71,"FoldablePropagation,RemoveNoopOperators,RemoveRedundantAliases",253743293,9183797
72,FoldablePropagation,2083111101,10298946
73,"ConstantFolding,RemoveRedundantAliases",1005482948,1837213
74,None,1533946704,4729199
75,CombineUnions,2022883443,3349336
76,ConstantFolding,917652820,2588593
77,None,307784449,4581574
78,"CollapseProject,EliminateOuterJoin",1084061981,2690226
79,"CollapseProject,RemoveRedundantAliases,ReorderJoin",1219853954,5565023
80,None,581169865,4665534
81,"CombineUnions,RemoveNoopOperators",91473791,1515191
82,ConstantFolding,1258590441,807685
83,None,2101392375,2108306
84,ConstantFolding,839711738,3380559
85,None,364437431,1649314
86,"CombineUnions,ConstantFolding,RemoveNoopOperators",1750023623,1358139
87,None,674926993,1961561
88,None,1212759256,2706506
89,None,1254332103,4075279
90,None,586512617,68904406
91,OptimizeIn,1758950561,926433
92,None,1067509559,2706542
93,CollapseProject,190911794,3086283
94,ConstantFolding,210958538,5234543
95,None,1497373936,15158815
96,None,1305601631,21241848
97,"PruneFilters,RemoveRedundantAliases",72285223,12944509
98,None,1287644268,2888261
99,Broadcast customer,1729928099,3314254
100,ConstantFolding,1976194626,2306228
101,EliminateLimits,390378162,2546175
102,"CombineUnions,EliminateOuterJoin,RemoveNoopOperators",621862687,2501462
103,CombineUnions,474344915,1828283
